date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:48:19	1490/1490	---MCZ	404	error ('Not%20Found')	text/html	date:Tue,%2025%20Jun%202024%2001:48:19%20GMT	https://www.thewinningedgepodcast.com/robots.txt		(from )
18:48:19	96370/96370	---MCZ	200	added ('OK')	text/html	etag:W/%2275a46c2ef11fc8ffc646ac00cbc33e00%22	https://www.thewinningedgepodcast.com/	C:/My%20Web%20Sites/losgatosbarbershop/www.thewinningedgepodcast.com/index.html	(from )
18:48:19	67796/67796	---M--	200	added ('OK')	image/png	etag:%22eaec6d27d9a216bda4e95609ff0945ee%22	https://www.thewinningedgepodcast.com/images/winningEdgeTrans.png	C:/My%20Web%20Sites/losgatosbarbershop/www.thewinningedgepodcast.com/images/winningEdgeTrans.png	(from https://www.thewinningedgepodcast.com/)
18:48:19	28765/28765	---MCZ	200	added ('OK')	text/css	etag:W/%226bb5545318038a2cfb38a19581c581f9%22	https://www.thewinningedgepodcast.com/css/vendors/aos.css	C:/My%20Web%20Sites/losgatosbarbershop/www.thewinningedgepodcast.com/css/vendors/aos.css	(from https://www.thewinningedgepodcast.com/)
18:48:19	16493/16493	---MCZ	200	added ('OK')	text/css	etag:W/%2204720c60bc020cbba92785dd4029f7d2%22	https://www.thewinningedgepodcast.com/css/vendors/swiper-bundle.min.css	C:/My%20Web%20Sites/losgatosbarbershop/www.thewinningedgepodcast.com/css/vendors/swiper-bundle.min.css	(from https://www.thewinningedgepodcast.com/)
18:48:19	53440/53440	---MCZ	200	added ('OK')	text/css	etag:W/%221a857052db7a37505dc429896db18710%22	https://www.thewinningedgepodcast.com/style.css	C:/My%20Web%20Sites/losgatosbarbershop/www.thewinningedgepodcast.com/style.css	(from https://www.thewinningedgepodcast.com/)
18:48:20	96370/96370	---MCZ	200	added ('OK')	text/html	etag:W/%2275a46c2ef11fc8ffc646ac00cbc33e00%22	https://www.thewinningedgepodcast.com/index.html	C:/My%20Web%20Sites/losgatosbarbershop/www.thewinningedgepodcast.com/index-2.html	(from https://www.thewinningedgepodcast.com/)
18:48:20	66897/66897	---M--	200	added ('OK')	image/png	etag:%222fb07e6de838afac5d6d75f4388239dd%22	https://www.thewinningedgepodcast.com/images/trophyBack.png	C:/My%20Web%20Sites/losgatosbarbershop/www.thewinningedgepodcast.com/images/trophyBack.png	(from https://www.thewinningedgepodcast.com/)
18:48:20	71248/71248	---M--	200	added ('OK')	image/png	etag:%22e72da468b13dcc3da63670d43ddde12a%22	https://www.thewinningedgepodcast.com/images/VolleyballPink.png	C:/My%20Web%20Sites/losgatosbarbershop/www.thewinningedgepodcast.com/images/VolleyballPink.png	(from https://www.thewinningedgepodcast.com/)
18:48:20	287/287	---M--	200	added ('OK')	image/svg+xml	etag:%224a759c936cca34a46924ee7aff850207%22	https://www.thewinningedgepodcast.com/images/play-02.svg	C:/My%20Web%20Sites/losgatosbarbershop/www.thewinningedgepodcast.com/images/play-02.svg	(from https://www.thewinningedgepodcast.com/)
18:48:20	33693/33693	---M--	200	added ('OK')	image/png	etag:%229c860ad79f037e535eea4fc9ca5918ac%22	https://www.thewinningedgepodcast.com/images/ttgrey.png	C:/My%20Web%20Sites/losgatosbarbershop/www.thewinningedgepodcast.com/images/ttgrey.png	(from https://www.thewinningedgepodcast.com/)
18:48:21	31946/31946	---M--	200	added ('OK')	image/png	etag:%222f024ef981061ee694b56e14bb83fa6c%22	https://www.thewinningedgepodcast.com/images/footballpurpleish.png	C:/My%20Web%20Sites/losgatosbarbershop/www.thewinningedgepodcast.com/images/footballpurpleish.png	(from https://www.thewinningedgepodcast.com/)
18:48:21	27081/27081	---M--	200	added ('OK')	image/png	etag:%22aa4e4aac8e2bd5a1e194e23145e3660c%22	https://www.thewinningedgepodcast.com/images/fencingpink.png	C:/My%20Web%20Sites/losgatosbarbershop/www.thewinningedgepodcast.com/images/fencingpink.png	(from https://www.thewinningedgepodcast.com/)
18:48:21	92747/92747	---M--	200	added ('OK')	image/png	etag:%223d47d3c4c554877d79f4c210fb5eea37%22	https://www.thewinningedgepodcast.com/images/TennisYellow.png	C:/My%20Web%20Sites/losgatosbarbershop/www.thewinningedgepodcast.com/images/TennisYellow.png	(from https://www.thewinningedgepodcast.com/)
18:48:21	38354/38354	---M--	200	added ('OK')	image/png	etag:%22ab6524c9ba552b1eaa57e419c2eaa1e7%22	https://www.thewinningedgepodcast.com/images/cricketgreen.png	C:/My%20Web%20Sites/losgatosbarbershop/www.thewinningedgepodcast.com/images/cricketgreen.png	(from https://www.thewinningedgepodcast.com/)
18:48:22	51364/51364	---M--	200	added ('OK')	image/png	etag:%22cee3363a78ed9d1e02e5545912b24590%22	https://www.thewinningedgepodcast.com/images/trackyellow.png	C:/My%20Web%20Sites/losgatosbarbershop/www.thewinningedgepodcast.com/images/trackyellow.png	(from https://www.thewinningedgepodcast.com/)
18:48:22	35455/35455	---M--	200	added ('OK')	image/png	etag:%2285dcafd3e05449b9b131aa35a13857ae%22	https://www.thewinningedgepodcast.com/images/waterpoloblue.png	C:/My%20Web%20Sites/losgatosbarbershop/www.thewinningedgepodcast.com/images/waterpoloblue.png	(from https://www.thewinningedgepodcast.com/)
18:48:22	29186/29186	---M--	200	added ('OK')	image/png	etag:%224f023d169a65dca3922531a3d90b8825%22	https://www.thewinningedgepodcast.com/images/sailingblue.png	C:/My%20Web%20Sites/losgatosbarbershop/www.thewinningedgepodcast.com/images/sailingblue.png	(from https://www.thewinningedgepodcast.com/)
18:48:22	35769/35769	---M--	200	added ('OK')	image/png	etag:%224e82ebf07ff6633953a83d783db03fcb%22	https://www.thewinningedgepodcast.com/images/gymnasticsbrown.png	C:/My%20Web%20Sites/losgatosbarbershop/www.thewinningedgepodcast.com/images/gymnasticsbrown.png	(from https://www.thewinningedgepodcast.com/)
18:48:22	50055/50055	---M--	200	added ('OK')	image/png	etag:%22a78784d1bdb34f2f2798242214f37185%22	https://www.thewinningedgepodcast.com/images/baseballbrown.png	C:/My%20Web%20Sites/losgatosbarbershop/www.thewinningedgepodcast.com/images/baseballbrown.png	(from https://www.thewinningedgepodcast.com/)
18:48:23	39519/39519	---M--	200	added ('OK')	image/png	etag:%2265f5d0f76f7a99c4b9e62b42594a7270%22	https://www.thewinningedgepodcast.com/images/soccerbettergreen.png	C:/My%20Web%20Sites/losgatosbarbershop/www.thewinningedgepodcast.com/images/soccerbettergreen.png	(from https://www.thewinningedgepodcast.com/)
18:48:23	38223/38223	---M--	200	added ('OK')	image/png	etag:%226ddca1f6bdf35d8eae7c26309720bb59%22	https://www.thewinningedgepodcast.com/images/skatingred.png	C:/My%20Web%20Sites/losgatosbarbershop/www.thewinningedgepodcast.com/images/skatingred.png	(from https://www.thewinningedgepodcast.com/)
18:48:23	54059/54059	---M--	200	added ('OK')	image/png	etag:%22d6e32ac9e4db4923d6bdfb8911271dd4%22	https://www.thewinningedgepodcast.com/images/basketballorange.png	C:/My%20Web%20Sites/losgatosbarbershop/www.thewinningedgepodcast.com/images/basketballorange.png	(from https://www.thewinningedgepodcast.com/)
18:48:23	76481/76481	---M--	200	added ('OK')	image/png	etag:%221863be83f3e571dc23ef94e874930614%22	https://www.thewinningedgepodcast.com/images/badmintonwhite.png	C:/My%20Web%20Sites/losgatosbarbershop/www.thewinningedgepodcast.com/images/badmintonwhite.png	(from https://www.thewinningedgepodcast.com/)
